font,filename,relative_path,white_ratio,dark_ratio,border_mean,border_dark_ratio,reason
ZhaomfBF,乘.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/乘.png,0.159419,0.728152,142.783478,0.441964,low_white_high_dark;dark_border_low_white
ZhaomfBF,事.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/事.png,0.393385,0.539969,167.974335,0.341518,low_white_high_dark;dark_border_low_white
ZhaomfBF,交.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/交.png,0.128812,0.766557,135.254471,0.470982,low_white_high_dark;dark_border_low_white
ZhaomfBF,亰.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/亰.png,0.103555,0.775575,133.870529,0.475446,low_white_high_dark;dark_border_low_white
ZhaomfBF,亰1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/亰1.png,0.097606,0.806705,130.421875,0.488839,low_white_high_dark;dark_border_low_white
ZhaomfBF,人.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/人.png,0.248261,0.706653,157.281250,0.383929,low_white_high_dark;dark_border_low_white
ZhaomfBF,人1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/人1.png,0.337796,0.623854,170.064728,0.334821,low_white_high_dark;dark_border_low_white
ZhaomfBF,仕.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/仕.png,0.256348,0.668527,154.098221,0.397321,low_white_high_dark;dark_border_low_white
ZhaomfBF,以.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/以.png,0.189398,0.750264,144.838165,0.433036,low_white_high_dark;dark_border_low_white
ZhaomfBF,伊.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/伊.png,0.178621,0.736662,141.262283,0.446429,low_white_high_dark;dark_border_low_white
ZhaomfBF,似.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/似.png,0.183504,0.728451,142.554688,0.441964,low_white_high_dark;dark_border_low_white
ZhaomfBF,余.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/余.png,0.197325,0.723653,149.439728,0.415179,low_white_high_dark;dark_border_low_white
ZhaomfBF,余1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/余1.png,0.232088,0.703100,154.178574,0.395089,low_white_high_dark;dark_border_low_white
ZhaomfBF,作.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/作.png,0.206937,0.693574,143.937500,0.436384,low_white_high_dark;dark_border_low_white
ZhaomfBF,兮.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/兮.png,0.061060,0.840731,129.861603,0.491071,low_white_high_dark;dark_border_low_white
ZhaomfBF,其.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/其.png,0.133366,0.770109,135.705353,0.468750,low_white_high_dark;dark_border_low_white
ZhaomfBF,其1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/其1.png,0.087198,0.785395,126.841515,0.495536,low_white_high_dark;dark_border_low_white
ZhaomfBF,初.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/初.png,0.278141,0.623799,159.375000,0.375000,low_white_high_dark;dark_border_low_white
ZhaomfBF,則.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/則.png,0.116844,0.777877,135.252228,0.470982,low_white_high_dark;dark_border_low_white
ZhaomfBF,動.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/動.png,0.093047,0.759342,119.575905,0.497768,low_white_high_dark;dark_border_low_white
ZhaomfBF,動1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/動1.png,0.105987,0.735247,103.742188,0.748884,low_white_high_dark;dark_border_low_white
ZhaomfBF,匏.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/匏.png,0.157829,0.695557,134.599335,0.473214,low_white_high_dark;dark_border_low_white
ZhaomfBF,北.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/北.png,0.180998,0.727011,135.517853,0.468750,low_white_high_dark;dark_border_low_white
ZhaomfBF,南.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/南.png,0.162936,0.711899,131.559158,0.484375,low_white_high_dark;dark_border_low_white
ZhaomfBF,南1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/南1.png,0.146679,0.714301,19.841518,1.000000,low_white_high_dark;dark_border_low_white
ZhaomfBF,南2.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/南2.png,0.195611,0.686553,136.133926,0.466518,low_white_high_dark;dark_border_low_white
ZhaomfBF,古.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/古.png,0.218506,0.695293,150.741074,0.410714,low_white_high_dark;dark_border_low_white
ZhaomfBF,后.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/后.png,0.187724,0.695806,137.572540,0.460938,low_white_high_dark;dark_border_low_white
ZhaomfBF,含.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/含.png,0.345833,0.571244,160.323654,0.372768,low_white_high_dark;dark_border_low_white
ZhaomfBF,域.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/域.png,0.126709,0.747394,137.279022,0.462054,low_white_high_dark;dark_border_low_white
ZhaomfBF,大.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/大.png,0.188790,0.720354,128.169632,0.493304,low_white_high_dark;dark_border_low_white
ZhaomfBF,夹.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/夹.png,0.099589,0.795674,130.918533,0.487723,low_white_high_dark;dark_border_low_white
ZhaomfBF,女.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/女.png,0.227629,0.697933,150.305801,0.410714,low_white_high_dark;dark_border_low_white
ZhaomfBF,女1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/女1.png,0.340242,0.595070,163.919647,0.358259,low_white_high_dark;dark_border_low_white
ZhaomfBF,女2.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/女2.png,0.223518,0.690385,151.704239,0.406250,low_white_high_dark;dark_border_low_white
ZhaomfBF,妃.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/妃.png,0.260438,0.650595,155.154022,0.392857,low_white_high_dark;dark_border_low_white
ZhaomfBF,妃1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/妃1.png,0.245466,0.666519,153.850449,0.397321,low_white_high_dark;dark_border_low_white
ZhaomfBF,娜.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/娜.png,0.270094,0.605872,151.578125,0.406250,low_white_high_dark;dark_border_low_white
ZhaomfBF,娲.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/娲.png,0.208989,0.681651,146.959824,0.424107,low_white_high_dark;dark_border_low_white
ZhaomfBF,婀.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/婀.png,0.197993,0.678028,147.236603,0.424107,low_white_high_dark;dark_border_low_white
ZhaomfBF,宋.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/宋.png,0.105987,0.803292,137.709824,0.459821,low_white_high_dark;dark_border_low_white
ZhaomfBF,宓.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/宓.png,0.153216,0.733498,138.651779,0.457589,low_white_high_dark;dark_border_low_white
ZhaomfBF,容.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/容.png,0.178586,0.688885,137.368301,0.462054,low_white_high_dark;dark_border_low_white
ZhaomfBF,容1.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/容1.png,0.139195,0.713498,130.034592,0.491071,low_white_high_dark;dark_border_low_white
ZhaomfBF,對.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/對.png,0.175034,0.681177,136.939728,0.464286,low_white_high_dark;dark_border_low_white
ZhaomfBF,尔.png,fontdata_example/font/train/new/ZhaomfBF/images_white_bg_mask_denoised/尔.png,0.178965,0.742028,145.550217,0.429688,low_white_high_dark;dark_border_low_white
